transaction_id,seller_id,customer_id,delivery_partner_id,device_id,ip_address,amount,is_return,status
T1153,S016,C058,D08,DEV058,192.168.58.150,1597,False,
T1154,S016,C001,D07,DEV001,192.168.1.7,447,False,
T1155,S016,C092,D04,DEV092,192.168.92.132,670,False,
T1156,S016,C018,D01,DEV018,192.168.18.126,1526,False,
T1157,S016,C052,D00,DEV052,192.168.52.108,1835,False,
T1158,S016,C111,D06,DEV111,192.168.111.9,1037,False,
T1159,S016,C083,D06,DEV083,192.168.83.69,1286,False,
T1160,S016,C019,D03,DEV019,192.168.19.133,1340,False,
T1161,S016,C009,D07,DEV009,192.168.9.63,2538,False,
T1162,S016,C060,D05,DEV060,192.168.60.164,1525,False,
T1163,S016,C100,D04,DEV100,192.168.100.188,1537,False,
T1164,S016,C033,D07,DEV033,192.168.33.231,1862,False,
T1165,S016,C043,D04,DEV043,192.168.43.45,2996,True,
T1166,S017,C077,D02,DEV077,192.168.77.27,2870,False,
T1167,S017,C102,D07,DEV102,192.168.102.202,1794,True,
T1168,S017,C045,D04,DEV045,192.168.45.59,2001,False,
T1169,S017,C028,D08,DEV028,192.168.28.196,1798,False,
T1170,S017,C081,D02,DEV081,192.168.81.55,2273,False,
T1171,S017,C024,D05,DEV024,192.168.24.168,2218,False,
T1172,S017,C079,D03,DEV079,192.168.79.41,1927,False,
T1173,S017,C032,D05,DEV032,192.168.32.224,1916,False,
T1174,S017,C086,D07,DEV086,192.168.86.90,1373,False,
T1175,S018,C079,D03,DEV079,192.168.79.41,2902,False,
T1176,S018,C113,D04,DEV113,192.168.113.23,777,False,
T1177,S018,C071,D04,DEV071,192.168.71.241,775,False,
T1178,S018,C041,D02,DEV041,192.168.41.31,1819,False,
T1179,S018,C117,D08,DEV117,192.168.117.51,932,False,
T1180,S018,C078,D07,DEV078,192.168.78.34,1445,False,
T1181,S019,C087,D06,DEV087,192.168.87.97,800,False,
T1182,S019,C047,D01,DEV047,192.168.47.73,2928,False,
T1183,S019,C069,D00,DEV069,192.168.69.227,1297,False,
T1184,S019,C115,D03,DEV115,192.168.115.37,2570,True,
T1185,S019,C082,D03,DEV082,192.168.82.62,904,False,
T1186,S019,C045,D04,DEV045,192.168.45.59,892,False,
T1187,S019,C007,D02,DEV007,192.168.7.49,405,False,
T1188,S020,C033,D01,DEV033,192.168.33.231,1782,False,
T1189,S020,C006,D08,DEV006,192.168.6.42,2819,False,
T1190,S020,C016,D08,DEV016,192.168.16.112,2935,False,
T1191,S020,C094,D07,DEV094,192.168.94.146,2046,False,
T1192,S020,C053,D07,DEV053,192.168.53.115,630,True,
T1193,S020,C067,D02,DEV067,192.168.67.213,2893,False,
T1194,S020,C014,D06,DEV014,192.168.14.98,2473,False,
T1195,S020,C095,D06,DEV095,192.168.95.153,768,False,
T1196,S021,C113,D04,DEV113,192.168.113.23,925,False,
T1197,S021,C029,D01,DEV029,192.168.29.203,681,False,
T1198,S021,C052,D05,DEV052,192.168.52.108,2578,False,
T1199,S021,C043,D08,DEV043,192.168.43.45,800,False,
T1200,S021,C105,D06,DEV105,192.168.105.223,510,False,
T1201,S021,C058,D05,DEV058,192.168.58.150,2378,False,
T1202,S021,C051,D03,DEV051,192.168.51.101,1734,False,
T1203,S021,C053,D04,DEV053,192.168.53.115,2057,False,
T1204,S021,C093,D09,DEV093,192.168.93.139,2932,False,
T1205,S021,C012,D04,DEV012,192.168.12.84,1419,True,
T1206,S021,C040,D05,DEV040,192.168.40.24,1043,False,
T1207,S021,C054,D06,DEV054,192.168.54.122,2893,True,
T1208,S021,C085,D08,DEV085,192.168.85.83,2019,False,
T1209,S022,C010,D04,DEV010,192.168.10.70,2398,False,
T1210,S022,C113,D04,DEV113,192.168.113.23,2729,False,
T1211,S022,C006,D00,DEV006,192.168.6.42,2754,False,
T1212,S022,C019,D03,DEV019,192.168.19.133,1346,False,
T1213,S022,C020,D07,DEV020,192.168.20.140,1019,False,
T1214,S022,C096,D03,DEV096,192.168.96.160,1750,False,
T1215,S022,C079,D00,DEV079,192.168.79.41,2183,False,
T1216,S022,C086,D09,DEV086,192.168.86.90,1956,False,
T1217,S022,C034,D01,DEV034,192.168.34.238,1630,False,
T1218,S022,C056,D07,DEV056,192.168.56.136,1782,False,
T1219,S022,C084,D03,DEV084,192.168.84.76,1940,False,
T1220,S022,C054,D04,DEV054,192.168.54.122,1207,False,
T1221,S022,C062,D08,DEV062,192.168.62.178,2473,False,
T1222,S022,C077,D05,DEV077,192.168.77.27,2943,False,
T1223,S022,C053,D02,DEV053,192.168.53.115,1010,False,
T1224,S023,C059,D05,DEV059,192.168.59.157,579,False,
T1225,S023,C096,D04,DEV096,192.168.96.160,1741,False,
T1226,S023,C072,D07,DEV072,192.168.72.248,1810,True,
T1227,S023,C097,D01,DEV097,192.168.97.167,2376,False,
T1228,S023,C074,D00,DEV074,192.168.74.6,2641,False,
T1229,S023,C057,D07,DEV057,192.168.57.143,553,False,
T1230,S023,C087,D05,DEV087,192.168.87.97,645,False,
T1231,S023,C118,D03,DEV118,192.168.118.58,2099,False,
T1232,S023,C112,D05,DEV112,192.168.112.16,1458,False,
T1233,S023,C082,D09,DEV082,192.168.82.62,2884,True,
T1234,S023,C081,D01,DEV081,192.168.81.55,1883,False,
T1235,S023,C079,D09,DEV079,192.168.79.41,1665,False,
T1236,S023,C041,D05,DEV041,192.168.41.31,2987,False,
T1237,S024,C048,D06,DEV048,192.168.48.80,374,False,
T1238,S024,C082,D03,DEV082,192.168.82.62,2291,False,
T1239,S024,C101,D02,DEV101,192.168.101.195,714,True,
T1240,S024,C042,D08,DEV042,192.168.42.38,1679,True,
T1241,S024,C104,D09,DEV104,192.168.104.216,964,False,
T1242,S024,C016,D09,DEV016,192.168.16.112,978,False,
T1243,S024,C085,D05,DEV085,192.168.85.83,1272,False,
T1244,S024,C089,D07,DEV089,192.168.89.111,1279,False,
T1245,S024,C106,D07,DEV106,192.168.106.230,1094,False,
T1246,S024,C094,D07,DEV094,192.168.94.146,1454,False,
T1247,S024,C087,D06,DEV087,192.168.87.97,1117,False,
T1248,S024,C116,D04,DEV116,192.168.116.44,2268,True,
T1249,S024,C067,D01,DEV067,192.168.67.213,2413,False,
T1250,S024,C011,D02,DEV011,192.168.11.77,2402,False,
T1251,S025,C006,D05,DEV006,192.168.6.42,863,False,
T1252,S025,C050,D07,DEV050,192.168.50.94,868,False,
T1253,S025,C064,D09,DEV064,192.168.64.192,624,True,
T1254,S025,C047,D02,DEV047,192.168.47.73,2793,False,
T1255,S025,C030,D04,DEV030,192.168.30.210,799,False,
T1256,S025,C049,D09,DEV049,192.168.49.87,754,False,
T1257,S025,C010,D08,DEV010,192.168.10.70,2410,True,
T1258,S025,C028,D04,DEV028,192.168.28.196,2818,False,
T1259,S025,C003,D02,DEV003,192.168.3.21,650,False,
T1260,S025,C040,D08,DEV040,192.168.40.24,2379,False,
T1261,S025,C119,D07,DEV119,192.168.119.65,1884,True,
T1262,S025,C012,D00,DEV012,192.168.12.84,576,False,
T1263,S026,C045,D07,DEV045,192.168.45.59,2260,False,
T1264,S026,C069,D01,DEV069,192.168.69.227,2174,False,
T1265,S026,C043,D03,DEV043,192.168.43.45,1592,False,
T1266,S026,C104,D08,DEV104,192.168.104.216,449,False,
T1267,S026,C082,D05,DEV082,192.168.82.62,495,False,
T1268,S026,C022,D01,DEV022,192.168.22.154,2089,False,
T1269,S027,C047,D04,DEV047,192.168.47.73,627,False,
T1270,S027,C118,D07,DEV118,192.168.118.58,2045,False,
T1271,S027,C102,D07,DEV102,192.168.102.202,1744,True,
T1272,S027,C066,D00,DEV066,192.168.66.206,2911,True,
T1273,S027,C034,D02,DEV034,192.168.34.238,884,False,
T1274,S027,C010,D07,DEV010,192.168.10.70,575,True,
T1275,S027,C093,D05,DEV093,192.168.93.139,2623,False,
T1276,S027,C054,D07,DEV054,192.168.54.122,1823,False,
T1277,S027,C055,D02,DEV055,192.168.55.129,1930,False,
T1278,S027,C077,D01,DEV077,192.168.77.27,1062,True,
T1279,S027,C105,D08,DEV105,192.168.105.223,1366,False,
T1280,S027,C023,D09,DEV023,192.168.23.161,2311,False,
T1281,S027,C069,D01,DEV069,192.168.69.227,2123,False,
T1282,S028,C070,D02,DEV070,192.168.70.234,2383,False,
T1283,S028,C069,D02,DEV069,192.168.69.227,2323,False,
T1284,S028,C037,D05,DEV037,192.168.37.3,2559,False,
T1285,S028,C114,D01,DEV114,192.168.114.30,2260,False,
T1286,S028,C038,D09,DEV038,192.168.38.10,1598,True,
T1287,S028,C108,D08,DEV108,192.168.108.244,2558,False,
T1288,S028,C020,D02,DEV020,192.168.20.140,526,False,
T1289,S029,C044,D08,DEV044,192.168.44.52,2860,False,
T1290,S029,C066,D08,DEV066,192.168.66.206,2724,False,
T1291,S029,C114,D09,DEV114,192.168.114.30,2778,False,
T1292,S029,C036,D00,DEV036,192.168.36.252,416,False,
T1293,S029,C108,D09,DEV108,192.168.108.244,1163,False,
T1294,S029,C010,D00,DEV010,192.168.10.70,2868,False,
T1295,S029,C032,D04,DEV032,192.168.32.224,1963,False,
T1296,S029,C025,D00,DEV025,192.168.25.175,2002,False,
T1297,S029,C081,D09,DEV081,192.168.81.55,1607,False,
T1298,S030,C013,D09,DEV013,192.168.13.91,954,False,
T1299,S030,C040,D05,DEV040,192.168.40.24,952,False,
T1300,S030,C030,D07,DEV030,192.168.30.210,2337,False,
T1301,S030,C059,D08,DEV059,192.168.59.157,1286,False,
T1302,S030,C015,D00,DEV015,192.168.15.105,2747,False,
T1303,S030,C034,D07,DEV034,192.168.34.238,333,False,
T1304,S030,C057,D04,DEV057,192.168.57.143,1951,False,
T1305,S030,C031,D09,DEV031,192.168.31.217,1784,False,
T1306,S030,C018,D08,DEV018,192.168.18.126,2552,False,
T1307,S030,C012,D09,DEV012,192.168.12.84,696,False,
T1308,S030,C006,D05,DEV006,192.168.6.42,1797,False,
T1309,S030,C037,D08,DEV037,192.168.37.3,464,False,
T1310,S030,C049,D05,DEV049,192.168.49.87,2427,False,
T1311,S030,C110,D08,DEV110,192.168.110.2,2811,False,
T1312,S031,C064,D05,DEV064,192.168.64.192,748,False,
T1313,S031,C106,D00,DEV106,192.168.106.230,1387,False,
T1314,S031,C065,D09,DEV065,192.168.65.199,510,False,
T1315,S031,C068,D09,DEV068,192.168.68.220,1857,False,
T1316,S031,C062,D00,DEV062,192.168.62.178,750,False,
T1317,S031,C090,D06,DEV090,192.168.90.118,1135,False,
T1318,S031,C072,D07,DEV072,192.168.72.248,555,False,
T1319,S031,C038,D08,DEV038,192.168.38.10,2259,False,
T1320,S031,C060,D02,DEV060,192.168.60.164,2483,False,
T1321,S031,C104,D04,DEV104,192.168.104.216,1087,False,
T1322,S031,C002,D04,DEV002,192.168.2.14,1519,False,
T1323,S032,C119,D02,DEV119,192.168.119.65,1478,False,
T1324,S032,C101,D07,DEV101,192.168.101.195,2262,False,
T1325,S032,C092,D04,DEV092,192.168.92.132,1412,False,
T1326,S032,C035,D09,DEV035,192.168.35.245,507,False,
T1327,S032,C036,D03,DEV036,192.168.36.252,1992,True,
T1328,S032,C015,D02,DEV015,192.168.15.105,2554,True,
T1329,S032,C073,D07,DEV073,192.168.73.255,1116,False,
T1330,S032,C086,D04,DEV086,192.168.86.90,666,False,
T1331,S032,C069,D00,DEV069,192.168.69.227,1017,False,
T1332,S032,C048,D00,DEV048,192.168.48.80,1926,False,
T1333,S032,C114,D04,DEV114,192.168.114.30,337,False,
T1334,S032,C050,D05,DEV050,192.168.50.94,2926,False,
T1335,S032,C104,D02,DEV104,192.168.104.216,2217,False,
T1336,S032,C044,D05,DEV044,192.168.44.52,2179,False,
T1337,S033,C086,D01,DEV086,192.168.86.90,875,False,
T1338,S033,C096,D00,DEV096,192.168.96.160,1264,False,
T1339,S033,C024,D05,DEV024,192.168.24.168,2646,False,
T1340,S033,C022,D03,DEV022,192.168.22.154,784,True,
T1341,S033,C078,D08,DEV078,192.168.78.34,1573,False,
T1342,S033,C109,D04,DEV109,192.168.109.251,1204,False,
T1343,S033,C081,D02,DEV081,192.168.81.55,2781,False,
T1344,S033,C114,D07,DEV114,192.168.114.30,1194,False,
T1345,S033,C051,D09,DEV051,192.168.51.101,635,False,
T1346,S033,C105,D05,DEV105,192.168.105.223,2610,True,
T1347,S033,C054,D08,DEV054,192.168.54.122,2498,False,
T1348,S033,C065,D08,DEV065,192.168.65.199,1141,False,
T1349,S033,C041,D08,DEV041,192.168.41.31,527,False,
T1350,S033,C011,D07,DEV011,192.168.11.77,2588,False,
T1351,S033,C085,D00,DEV085,192.168.85.83,312,False,
T1352,S034,C069,D04,DEV069,192.168.69.227,854,False,
T1353,S034,C007,D06,DEV007,192.168.7.49,1866,False,
T1354,S034,C119,D06,DEV119,192.168.119.65,2508,False,
T1355,S034,C114,D01,DEV114,192.168.114.30,2500,False,
T1356,S034,C008,D03,DEV008,192.168.8.56,393,False,
T1357,S034,C060,D08,DEV060,192.168.60.164,1853,False,
T1358,S034,C004,D05,DEV004,192.168.4.28,1072,False,
T1359,S035,C030,D07,DEV030,192.168.30.210,499,False,
T1360,S035,C026,D07,DEV026,192.168.26.182,1189,False,
T1361,S035,C008,D02,DEV008,192.168.8.56,1484,False,
T1362,S035,C012,D09,DEV012,192.168.12.84,2749,False,
T1363,S035,C076,D03,DEV076,192.168.76.20,886,False,
T1364,S035,C004,D06,DEV004,192.168.4.28,549,False,
T1365,S036,C006,D06,DEV006,192.168.6.42,2503,False,
T1366,S036,C044,D04,DEV044,192.168.44.52,891,False,
T1367,S036,C082,D08,DEV082,192.168.82.62,2006,False,
T1368,S036,C085,D03,DEV085,192.168.85.83,1652,False,
T1369,S036,C048,D05,DEV048,192.168.48.80,1080,False,
T1370,S036,C100,D09,DEV100,192.168.100.188,598,False,
T1371,S036,C067,D08,DEV067,192.168.67.213,1155,False,
T1372,S036,C040,D00,DEV040,192.168.40.24,1078,False,
T1373,S036,C089,D07,DEV089,192.168.89.111,2775,False,
T1374,S036,C053,D03,DEV053,192.168.53.115,1459,False,
T1375,S036,C052,D05,DEV052,192.168.52.108,1773,False,
T1376,S036,C019,D01,DEV019,192.168.19.133,2223,False,
T1377,S036,C038,D03,DEV038,192.168.38.10,1995,False,
T1378,S037,C074,D05,DEV074,192.168.74.6,2301,False,
T1379,S037,C092,D07,DEV092,192.168.92.132,1742,False,
T1380,S037,C053,D07,DEV053,192.168.53.115,2520,False,
T1381,S037,C037,D08,DEV037,192.168.37.3,604,True,
T1382,S037,C019,D00,DEV019,192.168.19.133,2883,False,
T1383,S037,C025,D00,DEV025,192.168.25.175,2167,False,
T1384,S037,C042,D09,DEV042,192.168.42.38,3000,False,
T1385,S037,C029,D08,DEV029,192.168.29.203,368,False,
T1386,S037,C048,D04,DEV048,192.168.48.80,2063,True,
T1387,S037,C072,D01,DEV072,192.168.72.248,2447,False,
T1388,S037,C106,D08,DEV106,192.168.106.230,1751,False,
T1389,S037,C031,D05,DEV031,192.168.31.217,2180,False,
T1390,S037,C063,D03,DEV063,192.168.63.185,630,False,
T1391,S037,C070,D00,DEV070,192.168.70.234,1853,False,
T1392,S037,C083,D00,DEV083,192.168.83.69,638,False,
T1393,S038,C029,D09,DEV029,192.168.29.203,490,False,
T1394,S038,C027,D04,DEV027,192.168.27.189,2608,False,
T1395,S038,C115,D05,DEV115,192.168.115.37,1148,True,
T1396,S038,C111,D06,DEV111,192.168.111.9,1525,False,
T1397,S038,C088,D06,DEV088,192.168.88.104,2514,False,
T1398,S038,C113,D02,DEV113,192.168.113.23,621,False,
T1399,S039,C043,D05,DEV043,192.168.43.45,1419,True,
T1400,S039,C077,D03,DEV077,192.168.77.27,1837,False,
T1401,S039,C098,D06,DEV098,192.168.98.174,2833,False,
T1402,S039,C078,D01,DEV078,192.168.78.34,931,False,
T1403,S039,C076,D02,DEV076,192.168.76.20,1597,False,
T1404,S039,C050,D04,DEV050,192.168.50.94,1404,False,
T1405,S039,C099,D06,DEV099,192.168.99.181,2572,False,
T1406,S_RING00,C_RING0_2,D_RING0,DEV_RING0,10.10.10.0,1367,False,delivered
T1407,S_RING00,C_RING0_2,D_RING0,DEV_RING0,10.10.10.0,1194,False,delivered
T1408,S_RING00,C_RING0_0,D_RING0,DEV_RING0,10.10.10.0,1372,False,delivered
T1409,S_RING00,C_RING0_4,D_RING0,DEV_RING0,10.10.10.0,1333,False,delivered
T1410,S_RING00,C_RING0_1,D_RING0,DEV_RING0,10.10.10.0,1075,False,delivered
T1411,S_RING00,C_RING0_0,D_RING0,DEV_RING0,10.10.10.0,971,False,delivered
T1412,S_RING00,C_RING0_3,D_RING0,DEV_RING0,10.10.10.0,878,False,delivered
T1413,S_RING00,C_RING0_3,D_RING0,DEV_RING0,10.10.10.0,1408,False,delivered
T1414,S_RING01,C_RING1_2,D_RING1,DEV_RING1,10.10.10.1,806,False,delivered
T1415,S_RING01,C_RING1_4,D_RING1,DEV_RING1,10.10.10.1,1189,False,delivered
T1416,S_RING01,C_RING1_2,D_RING1,DEV_RING1,10.10.10.1,1240,False,delivered
T1417,S_RING01,C_RING1_4,D_RING1,DEV_RING1,10.10.10.1,939,False,delivered
T1418,S_RING01,C_RING1_1,D_RING1,DEV_RING1,10.10.10.1,1290,False,delivered
T1419,S_RING01,C_RING1_2,D_RING1,DEV_RING1,10.10.10.1,1098,False,delivered
T1420,S_RING01,C_RING1_4,D_RING1,DEV_RING1,10.10.10.1,1048,False,delivered
T1421,S_RING01,C_RING1_3,D_RING1,DEV_RING1,10.10.10.1,1173,False,delivered
T1422,S_RING02,C_RING2_4,D_RING2,DEV_RING2,10.10.10.2,984,False,delivered
T1423,S_RING02,C_RING2_3,D_RING2,DEV_RING2,10.10.10.2,1014,False,delivered
T1424,S_RING02,C_RING2_0,D_RING2,DEV_RING2,10.10.10.2,1218,False,delivered
T1425,S_RING02,C_RING2_2,D_RING2,DEV_RING2,10.10.10.2,1047,False,delivered
T1426,S_RING02,C_RING2_3,D_RING2,DEV_RING2,10.10.10.2,1186,False,delivered
